,value,open_value,market_cap(억원),market_cap_rank,title
1199,8410,8410,168,,신한 코스피 콘도르 6/10% ETN
1200,8370,8360,167,,신한 인버스 콩 선물 ETN(H)
1201,9835,9735,167,,KINDEX 밸류대형
1202,12000,11300,167,코스피1203위,덕성우
1203,54300,55900,165,코스피1204위,삼양홀딩스우
1204,8685,8535,165,,KINDEX 인도네시아MSCI(합성)
1205,13700,14100,164,코스피1206위,일정실업
1206,8180,8205,164,,신한 인버스 2X 미국달러 선물 ETN
1207,8165,8165,163,,신한 코스피 월별 양매도 5% OTM ETN
1208,8165,8310,163,,신한 옥수수 선물 ETN(H)
1209,46465,46985,163,,ARIRANG 200선물레버리지
1210,163000,164000,161,코스피1211위,현대건설우
1211,102065,101940,160,,KINDEX 중장기국공채액티브
1212,7955,7955,159,,신한 코스피 월별 양매도 3% OTM ETN
1213,2790,2770,159,,TIGER 200 중공업
1214,22045,21665,159,,KOSEF Fn중소형
1215,7910,7950,158,,대신 2X 아연선물 ETN(H)
1216,7800,7950,156,,TIGER 유로스탁스레버리지(합성 H)
1217,19465,19465,156,,KINDEX 미국IT인터넷S&P(합성 H)
1218,7690,7720,154,,QV 내수소비 TOP5 ETN
1219,64030,64105,154,,KBSTAR 채권혼합
1220,31905,32045,153,,KOSEF 코스피100
1221,15230,15190,152,,TIGER S&P글로벌헬스케어(합성)
1222,7580,7580,152,,신한 코스피 콘도르 4/10% ETN
1223,40750,41350,151,코스피1224위,삼양사우
1224,29565,29840,151,,ARIRANG 코스피50
1225,14875,14845,149,,KBSTAR KQ고배당
1226,12350,12305,148,,KBSTAR 코스피ex200
1227,29930,29960,148,,KTOP 코스피50
1228,41945,42065,147,,TREX 200
1229,10170,10300,146,,KODEX 3대농산물선물(H)
1230,6090,6250,146,,KINDEX 중국본토CSI300레버리지(합성)
1231,13550,13500,146,코스피1232위,코오롱우
1232,32335,32600,146,,KODEX 코스피100
1233,18175,18530,145,,TIGER 일본니케이225
1234,12930,12895,145,,KODEX 200미국채혼합
1235,12035,12010,144,,KODEX 최소변동성
1236,7200,5800,144,,QV 제약 TOP5 ETN
1237,17545,17755,144,,KBSTAR 200IT
1238,1435,1375,144,,삼성 인버스 2X 은 선물 ETN(H)
1239,11000,11000,143,코스피1240위,태영건설우
1240,32490,32735,143,,파워 코스피100
1241,12960,12890,143,,TIGER 글로벌자원생산기업(합성 H)
1242,2825,2815,141,,TRUE 인버스 2X S&P500 선물 ETN(H)
1243,11580,11430,139,,TIGER 유로스탁스배당30
1244,13865,13995,139,,신한 레버리지 Russell 2000 ETN
1245,19800,20555,139,,KBSTAR KRX300레버리지
1246,6820,6780,136,,신한 인버스 금 선물 ETN(H)
1247,22725,22950,136,,KODEX KTOP30
1248,12215,12185,136,,TIGER 코스피고배당
1249,29315,29435,135,,TIGER 200커뮤니케이션서비스
1250,19180,19295,134,,ARIRANG KRX300
1251,13290,13415,133,,KB FnGuide 언택트 ETN
1252,13225,13220,132,,KODEX 혁신기술테마액티브
1253,108630,108560,130,,ARIRANG 우량회사채50 1년
1254,2450,2425,129,코스피1255위,NPC우
1255,9935,9945,129,,TIGER 미국달러선물인버스2X
1256,12825,13295,128,,KINDEX 블룸버그베트남VN30선물레버리지(H)
1257,9150,9230,128,,KODEX 삼성그룹밸류
1258,6350,6320,127,,신한 인버스 WTI원유 선물 ETN(H)
1259,11490,11460,126,,KODEX K-이노베이션액티브
1260,11150,11700,126,코스피1261위,유유제약1우
1261,12585,12625,126,,KB KRX300 ETN
1262,17905,17935,125,,KINDEX 스마트모멘텀
1263,11350,11270,125,,KODEX 미국채10년선물
1264,17820,17800,125,,대신 니켈선물 ETN(H)
1265,15575,15450,125,,TIGER 코스피중형주
1266,10160,9705,124,,TIGER 구리실물
1267,12410,12430,124,,KBSTAR 헬스케어채권혼합
1268,15400,15485,123,,KINDEX 스마트밸류
1269,10165,10360,122,,KINDEX 레버리지
1270,12160,12170,122,,TRUE FTSE100 ETN
1271,12155,12005,122,,QV S&P500 VIX S/T 선물 ETN B
1272,106000,106000,120,코스피1273위,SK네트웍스우
1273,12040,11705,120,,신한 FnGuide 5G 테마주 ETN
1274,10010,10090,120,,KOSEF 블루칩
1275,11940,11975,119,,KB KRX ESG Eco ETN
1276,6630,6670,119,,KOSEF KRX100
1277,11930,11915,119,,KODEX TRF7030
1278,5925,5920,118,,신한 인버스 구리 선물 ETN(H)
1279,7850,7810,118,,KODEX 코스닥150롱코스피200숏선물
1280,11720,12145,117,,TRUE 레버리지 HSCEI ETN(H)
1281,11115,10945,117,,KODEX S&P글로벌인프라(합성)
1282,11675,11910,117,,TIGER 일본TOPIX헬스케어(합성)
1283,129640,128875,117,,KOSEF 국고채10년레버리지
1284,11655,11505,117,,KODEX 모멘텀Plus
1285,10540,10540,116,,ARIRANG 고배당주채권혼합
1286,25565,25580,115,,KINDEX 러시아MSCI(합성)
1287,11435,11420,114,,KODEX TRF5050
1288,19000,18990,114,,KINDEX 일본Nikkei225(H)
1289,6625,6685,114,,TIGER 은행
1290,37000,36650,114,코스피1291위,남선알미우
1291,11325,11345,113,,KINDEX 싱가포르리츠
1292,5090,5250,113,코스피1293위,서울식품우
1293,7700,7620,113,,KODEX 철강
1294,11315,11315,113,,TRUE 코스피 커버드콜 ETN B
1295,11220,11330,112,,TIGER KTOP30
1296,2800,2790,112,,신한 인버스 2X 다우존스지수 선물 ETN(H)
1297,15900,16655,111,,TIGER 이머징마켓MSCI레버리지(합성 H)
1298,10660,10690,111,,KOSEF 미국달러선물인버스
1299,44130,44275,110,,KBSTAR 주식혼합
1300,10945,10945,109,,하나 KRX300 ETN
1301,9950,10030,109,,TIGER 경기방어채권혼합
1302,96500,98000,108,코스피1303위,DB하이텍1우
1303,10820,10820,108,,TRUE S&P500 양매도 4% OTM ETN(H)
1304,15400,15505,108,,KBSTAR 중국MSCI China선물(H)
1305,15340,15595,107,,TIGER 일본TOPIX(합성 H)
1306,15255,15305,107,,TIGER 코스피대형주
1307,11835,11745,107,,KODEX 다우존스미국리츠(H)
1308,2945,2920,106,코스피1309위,넥센우
1309,15135,15135,106,,KBSTAR KRX300미국달러선물혼합
