,value,open_value,market_cap(억원),market_cap_rank,title
730,19805,20255,1188,,TIGER 200선물레버리지
731,2775,2760,1184,코스피732위,KTcs
732,3795,3925,1182,코스피733위,형지엘리트
733,1105,1075,1181,코스피734위,대유에이텍
734,105450,105395,1181,,KBSTAR 중기우량회사채
735,15700,15800,1179,코스피736위,S&TC
736,7845,7855,1177,,미래에셋 코스피 양매도 5% OTM ETN
737,18575,18805,1170,,KODEX Fn성장
738,2200,2150,1164,,TIGER 200선물인버스2X
739,1655,1650,1159,,한국ANKOR유전
740,1625,1560,1154,코스피741위,대원전선
741,12070,12245,1151,,TIGER 경기방어
742,1500,1535,1150,코스피743위,티웨이홀딩스
743,3885,3880,1149,코스피744위,대양금속
744,4760,4785,1142,,이지스밸류리츠
745,2400,2465,1139,코스피746위,서원
746,102455,102460,1138,,KODEX 단기변동금리부채권액티브
747,21240,21600,1126,,KBSTAR 200TR
748,3455,3345,1125,코스피749위,덕양산업
749,22480,22660,1124,,TRUE 레버리지 나스닥 100 ETN
750,12350,12650,1124,코스피751위,현대코퍼레이션홀딩스
751,10200,10700,1122,코스피752위,삼아알미늄
752,3835,3850,1120,코스피753위,기신정기
753,8200,8160,1114,코스피754위,센트럴인사이트
754,2315,2295,1113,코스피755위,퍼스텍
755,4450,4480,1112,코스피756위,삼호개발
756,3850,4055,1105,코스피757위,세우글로벌
757,15000,15100,1105,코스피758위,솔루스첨단소재1우
758,18700,18450,1102,코스피759위,경동도시가스
759,2440,2450,1097,코스피760위,SG충방
760,11300,11350,1096,코스피761위,텔코웨어
761,5690,5770,1092,코스피762위,새론오토모티브
762,24950,24850,1092,코스피763위,인천도시가스
763,8390,8400,1091,코스피764위,KC코트렐
764,11790,11815,1091,,KODEX 차이나항셍테크
765,3690,3730,1090,코스피766위,한진중공업홀딩스
766,1655,1695,1089,코스피767위,윌비스
767,9910,10150,1086,코스피768위,한미글로벌
768,18650,18685,1082,,KODEX 미국S&P500선물(H)
769,12715,12855,1081,,HANARO Fn K-뉴딜디지털플러스
770,1335,1355,1068,코스피771위,엔케이
771,1100,1105,1057,코스피772위,상상인증권
772,4590,4725,1056,코스피773위,TCC스틸
773,12300,12150,1054,코스피774위,세아특수강
774,20300,20650,1054,코스피775위,조비
775,1110,1170,1051,코스피776위,영흥
776,2125,2160,1049,코스피777위,국보
777,2715,2730,1041,,TIGER 원유선물Enhanced(H)
778,173500,176000,1041,코스피779위,조흥
779,2390,2350,1036,코스피781위,광명전기
780,932,950,1036,코스피780위,SH에너지화학
781,16125,16355,1032,,KINDEX 삼성그룹섹터가중
782,99555,99525,1026,,KBSTAR 국고채3년선물인버스
783,5170,5330,1020,코스피784위,STX
784,2905,2870,1016,코스피785위,신풍제지
785,1490,1515,1011,코스피786위,콤텍시스템
786,9330,9500,1010,코스피787위,대구백화점
787,3010,2965,1007,코스피788위,이구산업
788,20075,20500,1004,,KODEX 한국대만IT프리미어
789,20055,20450,1003,,KODEX MSCI Korea
790,1455,1480,1000,코스피791위,유니켐
791,19985,20135,999,,TRUE 레버리지 S&P500 선물 ETN(H)
792,634,626,999,코스피793위,세화아이엠씨
793,19975,19880,999,,TRUE 인버스 2X 천연가스 선물 ETN(H)
794,11220,11540,999,,KBSTAR Fn5G테크
795,1875,1890,998,코스피796위,한국특수형강
796,3995,4075,996,코스피797위,고려산업
797,4430,4370,994,코스피798위,KC그린홀딩스
798,9935,10050,994,,TIGER 탄소효율그린뉴딜
799,9030,8930,989,코스피800위,이건산업
800,1715,1730,987,코스피801위,세하
801,4770,4765,983,,이지스레지던스리츠
802,4570,4520,981,코스피803위,상신브레이크
803,17005,17320,978,,KBSTAR 대형고배당10TR
804,818,814,973,코스피805위,대유플러스
805,12100,11950,972,코스피806위,유유제약
806,3145,3160,972,코스피807위,우성사료
807,2820,2815,959,코스피808위,삼영화학
808,4765,4745,958,,미래에셋맵스리츠
809,47525,46875,950,,대신 철광석 선물 ETN(H)
810,4740,4730,948,,신한 레버리지 천연가스 선물 ETN
811,9460,9500,946,코스피812위,대신증권2우B
812,26135,26250,941,,TIGER 미국S&P500레버리지(합성 H)
813,9950,10300,938,코스피814위,사조오양
814,2110,2150,934,코스피815위,대현
815,18600,19120,930,,대신 2X 니켈선물 ETN(H)
816,3250,3235,930,코스피817위,NI스틸
817,2660,2635,926,코스피818위,KTis
818,64600,64200,923,코스피819위,천일고속
819,5000,4940,916,코스피820위,우신시스템
820,4845,4925,916,코스피821위,모나미
821,14720,15050,913,,KODEX 중국본토CSI300
822,1895,1910,912,코스피823위,태평양물산
823,2430,2450,911,코스피824위,페이퍼코리아
824,58100,58095,906,,KODEX 국고채3년
825,6340,6350,906,코스피826위,대창단조
826,3190,3260,905,코스피827위,STX중공업
827,6370,6240,899,코스피828위,휴니드
828,6570,6630,895,코스피829위,동방아그로
829,5400,5390,895,코스피830위,지투알
830,5360,5390,894,코스피831위,대림B&Co
831,5160,5140,888,코스피832위,사조씨푸드
832,101845,101860,887,,KBSTAR 단기국공채액티브
833,52350,52380,879,,TIGER 중장기국채
834,21950,21800,878,코스피835위,한국수출포장
835,2880,2840,877,코스피836위,한국프랜지
836,3265,3210,873,코스피837위,비비안
837,12450,12310,872,,TIGER 유로스탁스50(합성 H)
838,5410,5460,866,코스피839위,DSR
839,1090,1085,865,코스피840위,웅진
840,20750,20850,863,코스피841위,가온전선
841,2040,2020,863,코스피842위,방림
842,3135,3080,861,코스피843위,한솔로지스틱스
843,3750,3815,857,코스피844위,한국내화
844,16000,16200,854,코스피845위,동성화학
